Review_Year,Complaint_Type,Event_Date,Location,Beat,Individual_Number,Action_Number,Action_Seq,Allegation_Number,Allegation_Type,Allegation_Seq,Incident_Number,Incident_Seq,PSS_Finding,CRB_Finding,CRB_Individual_Sustained,CRB_Split,Chief_Finding,Chief_Individual_Sustained,CRB_Chief,Concurrence,Chief,Exclusion,Chief_Action_Sustained,Chief_Allegation_Sustained,Chief_Incident_Sustained,CRB_Action_Sustained,CRB_Allegation_Sustained,CRB_Incident_Sustained,Notes,FID
2014,Citizen,2014-06-18T00:00:00.000Z,139 Keller St,267,14-0557.02.A.07,14-0557.02.A,7,14-0557.02,Procedure,7,14-0557,33,Exonerated,Unfounded,0,0,Exonerated,0,Unfounded-Exonerated,0,0,0,0,0,0,0,0,0,,455
2014,Citizen,2014-03-11T00:00:00.000Z,15 Charlotte St,219,14-0243.01.B.01,14-0243.01.B,1,14-0243.01,Force,2,14-0243,2,Unprovable,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,1,0,0,1,1,0,1,1,,456
2014,Citizen,2014-06-18T00:00:00.000Z,139 Keller St,267,14-0557.02.A.08,14-0557.02.A,8,14-0557.02,Procedure,8,14-0557,34,Exonerated,Unfounded,0,0,Exonerated,0,Unfounded-Exonerated,0,0,0,0,0,0,0,0,0,,457
2014,Citizen,2014-06-18T00:00:00.000Z,139 Keller St,267,14-0557.02.A.09,14-0557.02.A,9,14-0557.02,Procedure,9,14-0557,35,Exonerated,Unfounded,0,0,Exonerated,0,Unfounded-Exonerated,0,0,0,0,0,0,0,0,0,,458
2014,Citizen,2014-06-18T00:00:00.000Z,139 Keller St,267,14-0557.02.A.10,14-0557.02.A,10,14-0557.02,Procedure,10,14-0557,36,Exonerated,Unfounded,0,0,Exonerated,0,Unfounded-Exonerated,0,0,0,0,0,0,0,0,0,,459
2014,Citizen,2014-06-18T00:00:00.000Z,139 Keller St,267,14-0557.02.A.11,14-0557.02.A,11,14-0557.02,Procedure,11,14-0557,37,Exonerated,Unfounded,0,0,Exonerated,0,Unfounded-Exonerated,0,0,0,0,0,0,0,0,0,,460
2014,Citizen,2014-06-18T00:00:00.000Z,139 Keller St,267,14-0557.02.A.12,14-0557.02.A,12,14-0557.02,Procedure,12,14-0557,38,Exonerated,Unfounded,0,0,Exonerated,0,Unfounded-Exonerated,0,0,0,0,0,0,0,0,0,,461
2014,Citizen,2014-06-18T00:00:00.000Z,139 Keller St,267,14-0557.02.A.13,14-0557.02.A,13,14-0557.02,Procedure,13,14-0557,39,Exonerated,Unfounded,0,0,Exonerated,0,Unfounded-Exonerated,0,0,0,0,0,0,0,0,0,,462
2014,Citizen,2014-03-15T00:00:00.000Z,900 E Main St,225,14-0404.03.A.03,14-0404.03.A,3,14-0404.03,Procedure,3,14-0404,47,Unprovable,Unprovable,0,0,Unprovable,0,Unprovable-Unprovable,1,1,0,0,0,0,0,0,1,,463
2014,Citizen,2014-06-18T00:00:00.000Z,139 Keller St,267,14-0557.02.B.01,14-0557.02.B,1,14-0557.02,Procedure,14,14-0557,40,Exonerated,Exonerated,0,0,Exonerated,0,Exonerated-Exonerated,1,0,0,0,0,0,0,0,0,,464
2014,Citizen,2014-06-18T00:00:00.000Z,139 Keller St,267,14-0557.02.B.02,14-0557.02.B,2,14-0557.02,Procedure,15,14-0557,41,Exonerated,Exonerated,0,0,Exonerated,0,Exonerated-Exonerated,1,0,0,0,0,0,0,0,0,,465
2014,Citizen,2014-06-18T00:00:00.000Z,139 Keller St,267,14-0557.02.B.03,14-0557.02.B,3,14-0557.02,Procedure,16,14-0557,42,Exonerated,Exonerated,0,0,Exonerated,0,Exonerated-Exonerated,1,0,0,0,0,0,0,0,0,,466
2014,Citizen,2014-06-18T00:00:00.000Z,139 Keller St,267,14-0557.02.B.04,14-0557.02.B,4,14-0557.02,Procedure,17,14-0557,43,Exonerated,Exonerated,0,0,Exonerated,0,Exonerated-Exonerated,1,0,0,0,0,0,0,0,0,,467
2014,Citizen,2014-06-18T00:00:00.000Z,139 Keller St,267,14-0557.02.B.05,14-0557.02.B,5,14-0557.02,Procedure,18,14-0557,44,Exonerated,Exonerated,0,0,Exonerated,0,Exonerated-Exonerated,1,0,0,0,0,0,0,0,0,,468
2014,Citizen,2014-06-18T00:00:00.000Z,139 Keller St,267,14-0557.02.B.06,14-0557.02.B,6,14-0557.02,Procedure,19,14-0557,45,Exonerated,Exonerated,0,0,Exonerated,0,Exonerated-Exonerated,1,0,0,0,0,0,0,0,0,,469
2014,Citizen,2014-06-18T00:00:00.000Z,139 Keller St,267,14-0557.02.B.07,14-0557.02.B,7,14-0557.02,Procedure,20,14-0557,46,Exonerated,Exonerated,0,0,Exonerated,0,Exonerated-Exonerated,1,0,0,0,0,0,0,0,0,,470
2014,Citizen,2014-06-18T00:00:00.000Z,139 Keller St,267,14-0557.02.B.08,14-0557.02.B,8,14-0557.02,Procedure,21,14-0557,47,Exonerated,Exonerated,0,0,Exonerated,0,Exonerated-Exonerated,1,0,0,0,0,0,0,0,0,,471
2014,Citizen,2014-06-18T00:00:00.000Z,139 Keller St,267,14-0557.02.B.09,14-0557.02.B,9,14-0557.02,Procedure,22,14-0557,48,Exonerated,Exonerated,0,0,Exonerated,0,Exonerated-Exonerated,1,0,0,0,0,0,0,0,0,,472
